"Country","suicideRank","topCountryRank","Total","Male","female","totalNumber"
"Lithuania","1","59","31.9000","58.1000","9.5000","894"
"Russia","2","23","31","55.9000","9.4000","45178"
"Guyana","3","101","29.2000","43.7000","14.4000","227"
"South korea","4","20","26.9000","38.4000","15.4000","13765"
"Belarus","5","70","26.2000","46.9000","8.2000","2477"
"Suriname","6","101","22.8000","34.7000","10.9000","131"
"Kazakhstan","7","66","22.5000","38.3000","7.6000","4122"
"Ukraine","8","68","22.4000","41.1000","6.3000","9911"
"Latvia","9","62","21.2000","37.6000","7.3000","409"
"Lesotho","10","101","21.2000","17.8000","24.4000","447"
"Belgium","11","101","20.7000","27.8000","13.8000","2377"
"Switzerland","18","1","17.2000","22","12.4000","1466"
"Canada","47","2","12.5000","18.1000","7","4634"
"Japan","14","3","18.5000","26","11.4000","23532"
"Germany","37","4","13.6000","19.7000","7.7000","11305"
"Australia","41","5","13.2000","19.5000","7","3287"
"United kingdom","78","6","8.9000","13.5000","4.4000",""
"United states","27","7","15.3000","23.6000","7.2000",""
"Sweden","28","8","14.8000","19.1000","10.5000","1476"
"Netherlands","46","9","12.6000","16.2000","9","2150"
"Norway","51","10","12.2000","15.9000","8.4000","651"
"Bulgaria","55","58","11.5000","18.2000","5.1000","811"
